Invoice Date,Invoice Amount
1/1/2023,"$40,324.25"
1/3/2023,"$2,543.70"
1/4/2023,"$6,213.29"
1/5/2023,"$18,012.94"
1/10/2023,"$1,788.75"
1/11/2023,"$71,654.01"
1/13/2023,"$86,057.60"
1/24/2023,"$142,625.14"
1/25/2023,"$34,601.60"
1/26/2023,"$14,302.56"
1/27/2023,"$4,859.47"
1/30/2023,"$15,837.36"
2/2/2023,"$5,841.30"
2/7/2023,"$1,122.07"
2/15/2023,"$3,213.00"
2/16/2023,"$116,428.62"
2/17/2023,"$67,662.21"
2/18/2023,"$73,815.30"
2/24/2023,"$13,938.00"
2/27/2023,"$22,982.66"
3/1/2023,"$1,705.20"
3/2/2023,"$2,507.50"
3/8/2023,"$58,322.45"
3/11/2023,"$18,422.40"
3/12/2023,"$199,364.15"
3/13/2023,"$54,802.60"
3/16/2023,"$28,438.57"
3/20/2023,"$4,354.35"
3/27/2023,"$1,556.40"
3/30/2023,$689.92
3/31/2023,"$3,745.28"
4/4/2023,"$2,344.80"
4/5/2023,"$1,701.63"
4/10/2023,"$131,795.55"
4/11/2023,"$16,245.85"
4/12/2023,"$70,715.29"
4/13/2023,"$34,870.25"
4/14/2023,"$27,805.30"
4/15/2023,"$54,746.32"
4/16/2023,"$7,304.00"
4/26/2023,"$2,145.71"
5/2/2023,"$3,618.90"
5/10/2023,"$34,435.95"
5/11/2023,"$146,994.75"
5/12/2023,"$62,721.00"
5/13/2023,"$43,637.05"
5/16/2023,"$2,191.00"
5/30/2023,"$5,337.60"
6/4/2023,"$1,673.40"
6/8/2023,$484.05
6/12/2023,"$46,959.95"
6/13/2023,"$30,054.65"
6/14/2023,"$20,816.10"
6/15/2023,"$148,568.72"
6/16/2023,"$10,105.05"
6/19/2023,"$26,860.95"
6/20/2023,"$86,134.51"
6/21/2023,"$31,355.45"
6/22/2023,"$9,986.16"
6/23/2023,$649.25
6/30/2023,"$3,659.05"
7/5/2023,"$2,854.95"
7/6/2023,"$2,436.00"
7/13/2023,"$4,081.80"
7/14/2023,"$34,738.95"
7/15/2023,"$55,418.70"
7/16/2023,"$1,919.00"
7/17/2023,"$4,794.63"
7/18/2023,"$17,370.13"
7/19/2023,"$8,467.57"
7/20/2023,"$33,570.86"
7/22/2023,"$70,083.90"
7/25/2023,"$4,042.95"
7/28/2023,$840.00
7/31/2023,"$94,882.36"
8/1/2023,"$6,377.42"
8/7/2023,"$150,161.52"
8/8/2023,"$50,615.24"
8/9/2023,"$38,876.50"
8/10/2023,"$19,532.43"
8/11/2023,"$37,632.60"
8/12/2023,"$41,692.80"
8/14/2023,"$26,674.10"
8/15/2023,"$18,255.75"
